archivo,zero_cr,spectral_centroid,spectral_bw,spectral_rf,croma,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,BPM,auto_c,genero
01-TheMountain_02m_00s__03m_00s.mp3,6,2358.978044,2552.82389,4793.526802,0.470420092,-163.3728333,165.7175293,-50.69720459,13.08396816,-0.032860789,16.52368736,-10.63415527,13.87849712,-0.15655531,4.318977356,1.155136466,3.123752594,3.1540277,3.419914007,1.201207161,-3.672799349,1.497480154,0.186496422,0.511725247,-5.180268288,123.046875,0.772140086,1
01ANightmareToRemember_02m_00s__03m_00s.mp3,4,3100.689109,3256.578868,6469.363992,0.596201241,-48.06243896,135.7433929,-53.93200684,63.56238937,-6.626508236,33.99596786,-5.462244511,21.08906364,0.379192859,13.36389828,-0.915789425,8.659492493,1.639240384,5.244627953,1.330808043,-2.682352781,0.532446563,-1.862645626,1.804187298,-5.636508942,109.9567819,0.628546054,1
01AcidRain_02m_00s__03m_00s.mp3,5,3198.378355,3543.702522,6808.57054,0.546078682,-58.2444191,134.5495453,-35.38487244,52.8730545,-5.400177956,27.03181839,-12.11758709,20.23365021,-8.962457657,10.44723701,-4.707658768,7.385718822,-0.928300381,4.593798161,1.471744895,0.739590108,0.728076935,-4.671610355,3.458640814,-1.755218148,143.5546875,0.54195848,1
01BalrogBoogie_02m_00s__03m_00s.mp3,2,2942.011868,3163.90399,6050.917527,0.433329821,-91.08263397,134.3912964,-46.59893036,44.52318954,-2.545115948,30.06997871,-9.31635952,17.69527054,-0.801928282,9.089576721,-1.713329911,8.924645424,4.266487598,2.395692587,1.147897363,1.289820552,-0.101061657,-4.962540627,3.051191092,-2.858684063,90.66611842,0.541528036,1
01C'estlaVie_02m_00s__03m_00s.mp3,5,3123.743239,3337.527859,6499.844646,0.535730064,-34.44835281,137.7799835,-48.76754379,63.00143433,-11.7986021,31.90054321,-13.21644974,19.97567749,-6.714271545,13.96682644,0.649571776,8.866031647,1.035663009,3.280221939,3.242964268,-4.13133955,1.912559032,-6.067164898,2.72840786,-6.114750862,120.1853198,0.746078203,1
01Clarity_02m_00s__03m_00s.mp3,12,3323.636735,3365.014221,6856.186039,0.456834495,-37.26956558,134.5197449,-61.40424728,48.85274124,-22.41734314,36.06076813,-14.45778656,26.87224579,-3.921682358,15.89031029,1.715921998,5.264344215,2.053570271,3.929244757,4.541012287,-1.544209361,3.691142082,-2.027780056,4.73250103,-1.949275255,135.9991776,0.723000422,1
01ElephantTalk_02m_00s__03m_00s.mp3,2,1847.898617,2069.469524,3675.509818,0.439220577,-222.1804199,185.1647034,-41.0099411,36.79904938,-3.119083643,0.632341683,7.338588238,-1.163199544,4.953574657,-2.935323954,0.372891039,0.306395024,-3.590288162,-1.493772745,1.436728239,-0.513091385,-6.776046276,-3.865979433,0.927682698,-5.145401478,114.84375,0.505823619,1
01ElephantTalk_03m_00s__04m_00s.mp3,11,1821.360537,2012.219025,3612.120881,0.352717936,-221.1151123,186.3808289,-41.91531754,37.78728485,-4.099017143,-4.785975456,6.352444172,3.504007101,8.377261162,0.189143851,-0.437223971,1.036291838,-0.386357903,-3.029245138,-4.312524796,-1.373249531,-4.412070751,-3.297631025,3.587588072,-4.862836361,114.84375,0.524440735,1
01JigsawHustle_02m_00s__03m_00s.mp3,0,4142.615401,4071.635709,9046.439683,0.500614643,-38.25337982,109.6292801,-31.90541649,51.97418213,-22.34156227,46.20675278,-15.35549831,22.95685959,-6.790660858,14.46652889,1.967936754,6.986238003,0.269085795,2.92408371,4.49097681,0.768327236,4.665882111,-2.338652372,4.793671131,-5.734878063,123.046875,0.568278439,1
"01Metropolis,Pt.1TheMiracleand_02m_00s__03m_00s.mp3",3,3176.015251,3488.711722,7028.435,0.504410863,-114.5796356,134.7799835,-37.28847885,62.95306015,-14.05591297,34.29259872,-13.20926094,20.90918922,-4.421948433,14.3804512,-2.767783403,4.425819874,-0.159968555,-2.715544224,3.259261131,-9.079109192,3.561905146,-5.493804932,2.474753618,-8.224489212,105.46875,0.580233293,1
