estacionid,fecha,tempaire
ABASOLO,2020/07/24 00:00:00,27.500
ABASOLO,2020/07/24 01:00:00,27.200
ABASOLO,2020/07/24 02:00:00,26.900
ABASOLO,2020/07/24 03:00:00,26.400
ABASOLO,2020/07/24 04:00:00,25.900
ABASOLO,2020/07/24 05:00:00,25.600
ABASOLO,2020/07/24 06:00:00,25.400
ABASOLO,2020/07/24 07:00:00,25.800
ABASOLO,2020/07/24 08:00:00,27.900
ABASOLO,2020/07/24 09:00:00,31.400
ABASOLO,2020/07/24 10:00:00,33.200
ABASOLO,2020/07/24 11:00:00,36.100
ABASOLO,2020/07/24 12:00:00,36.500
ABASOLO,2020/07/24 13:00:00,37.200
ABASOLO,2020/07/24 14:00:00,40.000
ABASOLO,2020/07/24 15:00:00,39.700
ABASOLO,2020/07/24 16:00:00,37.900
ABASOLO,2020/07/24 17:00:00,36.400
ABASOLO,2020/07/24 18:00:00,34.700
ACAPONETA,2020/07/24 00:00:00,27.600
ACAPONETA,2020/07/24 00:10:00,27.500
ACAPONETA,2020/07/24 00:20:00,27.400
ACAPONETA,2020/07/24 00:30:00,27.300
ACAPONETA,2020/07/24 00:40:00,27.200
ACAPONETA,2020/07/24 00:50:00,27.000
ACAPONETA,2020/07/24 01:00:00,26.800
ACAPONETA,2020/07/24 01:10:00,26.500
ACAPONETA,2020/07/24 01:20:00,26.400
ACAPONETA,2020/07/24 01:30:00,26.500
ACAPONETA,2020/07/24 01:40:00,26.600
ACAPONETA,2020/07/24 01:50:00,26.500
ACAPONETA,2020/07/24 02:00:00,26.500
ACAPONETA,2020/07/24 02:10:00,26.400
ACAPONETA,2020/07/24 02:20:00,26.300
ACAPONETA,2020/07/24 02:30:00,26.100
ACAPONETA,2020/07/24 02:40:00,25.900
ACAPONETA,2020/07/24 02:50:00,25.800
ACAPONETA,2020/07/24 03:00:00,25.500
ACAPONETA,2020/07/24 03:10:00,25.500
ACAPONETA,2020/07/24 03:20:00,25.300
ACAPONETA,2020/07/24 03:30:00,25.300
ACAPONETA,2020/07/24 03:40:00,25.400
ACAPONETA,2020/07/24 03:50:00,25.300
ACAPONETA,2020/07/24 04:00:00,25.200
ACAPONETA,2020/07/24 04:10:00,25.200
ACAPONETA,2020/07/24 04:20:00,25.200
ACAPONETA,2020/07/24 04:30:00,25.100
ACAPONETA,2020/07/24 04:40:00,25.200
ACAPONETA,2020/07/24 04:50:00,25.200
ACAPONETA,2020/07/24 05:00:00,25.100
ACAPONETA,2020/07/24 05:10:00,25.100
ACAPONETA,2020/07/24 05:20:00,25.000
ACAPONETA,2020/07/24 05:30:00,25.000
ACAPONETA,2020/07/24 05:40:00,24.900
ACAPONETA,2020/07/24 05:50:00,24.900
ACAPONETA,2020/07/24 06:00:00,24.900
ACAPONETA,2020/07/24 06:10:00,24.900
ACAPONETA,2020/07/24 06:20:00,25.100
ACAPONETA,2020/07/24 06:30:00,25.100
ACAPONETA,2020/07/24 06:40:00,25.100
ACAPONETA,2020/07/24 06:50:00,25.100
ACAPONETA,2020/07/24 07:00:00,25.200
ACAPONETA,2020/07/24 07:10:00,25.300
ACAPONETA,2020/07/24 07:20:00,25.500
ACAPONETA,2020/07/24 07:30:00,25.700
ACAPONETA,2020/07/24 07:40:00,26.100
ACAPONETA,2020/07/24 07:50:00,26.500
ACAPONETA,2020/07/24 08:00:00,26.900
ACAPONETA,2020/07/24 08:10:00,27.100
ACAPONETA,2020/07/24 08:20:00,27.200
ACAPONETA,2020/07/24 08:30:00,27.600
ACAPONETA,2020/07/24 08:40:00,27.800
ACAPONETA,2020/07/24 08:50:00,27.800
ACAPONETA,2020/07/24 09:00:00,27.900
ACAPONETA,2020/07/24 09:10:00,28.300
ACAPONETA,2020/07/24 09:20:00,29.000
ACAPONETA,2020/07/24 09:30:00,29.600
ACAPONETA,2020/07/24 09:40:00,30.200
ACAPONETA,2020/07/24 09:50:00,30.500
ACAPONETA,2020/07/24 10:00:00,30.700
ACAPONETA,2020/07/24 10:10:00,31.700
ACAPONETA,2020/07/24 10:20:00,31.600
ACAPONETA,2020/07/24 10:30:00,32.200
ACAPONETA,2020/07/24 10:40:00,32.300
ACAPONETA,2020/07/24 10:50:00,32.500
ACAPONETA,2020/07/24 11:00:00,33.000
ACAPONETA,2020/07/24 11:10:00,32.800
ACAPONETA,2020/07/24 11:20:00,33.400
ACAPONETA,2020/07/24 11:30:00,33.000
ACAPONETA,2020/07/24 11:40:00,32.200
ACAPONETA,2020/07/24 11:50:00,33.200
ACAPONETA,2020/07/24 12:00:00,33.500
ACAPONETA,2020/07/24 12:10:00,34.400
ACAPONETA,2020/07/24 12:20:00,34.500
ACAPONETA,2020/07/24 12:30:00,35.000
ACAPONETA,2020/07/24 12:40:00,34.400
ACAPONETA,2020/07/24 12:50:00,33.500
ACAPONETA,2020/07/24 13:00:00,33.800
ACAPONETA,2020/07/24 13:10:00,33.100
ACAPONETA,2020/07/24 13:20:00,33.800
ACAPONETA,2020/07/24 13:30:00,34.000
ACAPONETA,2020/07/24 13:40:00,35.000
ACAPONETA,2020/07/24 13:50:00,34.800
ACAPONETA,2020/07/24 14:00:00,35.500
ACAPONETA,2020/07/24 14:10:00,34.800
ACAPONETA,2020/07/24 14:20:00,33.100
ACAPONETA,2020/07/24 14:30:00,32.000
ACAPONETA,2020/07/24 14:40:00,31.500
ACAPONETA,2020/07/24 14:50:00,31.700
ACAPONETA,2020/07/24 15:00:00,32.900
ACAPONETA,2020/07/24 15:10:00,33.500
ACAPONETA,2020/07/24 15:20:00,33.700
ACAPONETA,2020/07/24 15:30:00,33.600
ACAPONETA,2020/07/24 15:40:00,33.700
ACAPONETA,2020/07/24 15:50:00,33.700
ACAPONETA,2020/07/24 16:00:00,33.500
ACAPONETA,2020/07/24 16:10:00,33.300
ACAPONETA,2020/07/24 16:20:00,33.600
