ID	antiguedad	horasextra	sexo	cursos	incapacidad	aptitudes	escolaridad	salario	edad
1	11	125	1	4	9	121.89	2	23065	44
2	24	225	2	2	2	114.2	1	27180	50
3	17	115	2	3	5	134.11	1	34875	48
4	9	117	1	1	1	113.95	1	23685	53
5	15	26	1	2	0	151.41	2	33550	62
6	6	43	1	4	3	96.65	1	22635	45
7	4	124	2	2	4	98.43	2	19575	26
8	2	71	2	1	1	110.06	1	20430	28
9	17	166	2	2	5	101.98	1	18955	33
10	17	158	1	3	2	101.01	1	25595	40
11	15	182	2	4	4	103.42	2	34975	63
12	21	81	2	3	6	106.88	2	26800	55
13	4	58	1	2	5	99.36	2	22400	50
14	12	203	1	2	3	105.66	2	31200	33
15	23	144	1	2	4	100.91	1	24750	41
16	20	179	1	3	5	73.76	2	30495	53
17	19	96	2	1	5	83.39	0	33965	58
18	12	96	2	4	7	88.41	1	30440	51
19	5	157	2	4	8	98.19	1	25545	39
20	11	27	2	2	4	101.72	1	23960	30
21	11	88	1	0	6	92.63	1	30630	45
22	8	177	2	4	6	92.59	1	38790	61
23	20	211	1	3	1	110.34	2	41705	68
24	1	125	1	0	9	102.91	2	19775	30
25	6	58	2	0	7	110.39	2	37600	57
26	18	178	1	4	3	124.5	1	34250	49
27	21	166	1	3	5	116.35	1	36195	48
28	7	155	1	3	4	118.64	2	28090	31
29	21	45	2	2	6	115.64	2	35600	60
30	27	157	2	2	5	113.16	2	39975	67
31	20	99	2	0	4	96.92	2	37100	57
32	11	140	1	5	7	94.82	0	27500	32
33	11	101	1	3	9	102.62	1	24450	27
34	3	22	1	4	4	78.89	1	23150	37
35	16	93	1	3	5	83.88	1	35000	37
36	2	3	2	2	5	78.42	0	22025	25
37	12	142	1	4	9	98.67	1	26500	32
38	16	11	2	3	0	86.52	1	36475	53
39	9	124	2	1	5	87.65	2	27200	27
40	15	55	2	3	5	81.4	1	33975	37
41	3	6	2	9	3	107.87	2	19000	23
42	17	12	1	1	6	106.6	1	28650	35
43	17	112	1	3	0	117.57	1	38500	41
44	23	71	2	3	7	96.15	2	40400	63
45	6	28	2	1	3	107.97	1	38900	54
46	1	20	2	5	4	104.72	2	27050	31
47	7	43	1	3	3	85.54	0	26275	33
48	4	113	1	2	4	123.67	1	30000	40
49	22	77	2	5	4	80.55	0	40900	63
50	18	152	2	3	5	91.02	1	37000	54
51	22	0	1	1	4	105.08	1	42250	62
52	25	112	2	3	7	116.61	1	47300	63
53	15	103	1	2	1	120.9	1	30500	39
54	24	215	1	0	7	95.35	0	26180	41
55	15	50	1	3	6	95.94	0	27940	39
56	2	169	2	1	9	118.4	1	15625	26
57	17	92	2	1	3	82.45	0	23650	42
58	7	132	2	1	7	99.18	1	41910	41
59	8	48	1	1	7	107.17	1	38950	56
60	11	200	2	4	9	97.1	0	43650	70
61	10	149	2	4	4	92.41	0	31450	39
62	10	79	1	0	5	101.16	1	24650	40
63	8	48	1	1	8	93.92	0	26250	37
64	15	202	1	1	8	103.45	1	37225	57
65	8	74	1	1	3	103.89	1	23100	29
66	23	74	2	5	4	110.25	1	40370	65
67	24	138	2	5	4	103.6	1	42450	63
68	22	66	1	3	3	109.1	2	38300	65
69	6	68	1	2	5	87.58	1	39500	57
70	3	184	1	1	7	96.21	0	31400	29
71	16	123	2	1	4	101.75	1	32670	39
72	4	105	2	3	7	110.08	2	33110	47
73	12	0	2	6	8	104.85	1	35850	61
74	23	52	1	3	4	93.91	0	47100	61
75	13	121	2	4	8	103.45	1	41600	46
76	11	90	2	5	2	101.69	2	40700	42
77	4	31	2	0	3	110.25	1	28750	29
78	3	52	2	3	1	103.51	1	35200	35
79	9	79	2	3	4	109.97	1	38500	45
80	12	136	2	5	4	113.17	2	41800	42
81	3	169	2	2	3	118.46	1	23600	28
82	16	70	2	2	8	126.34	1	42000	46
83	23	26	2	2	7	108.45	1	43175	54
84	2	187	2	3	4	121.46	2	25150	29
85	18	198	2	2	5	106.49	1	37300	42
86	3	171	2	2	9	102.15	2	25100	27
87	7	132	2	5	7	126.34	1	28215	31
88	25	211	2	2	9	106.38	1	47025	65
89	2	112	1	2	1	102.35	2	40500	44
90	17	118	2	1	3	98.12	0	40425	45
91	22	204	2	3	2	96.82	0	42850	51
92	6	24	2	0	3	100.03	1	27500	20
93	27	11	1	3	2	112.69	1	45100	65
94	14	193	1	3	4	121.96	1	42450	57
95	12	100	1	3	8	93.77	0	41900	49
96	24	74	2	0	6	99.7	1	45375	68
97	14	61	1	1	3	93.21	0	34550	39
98	14	96	2	2	1	117.27	1	36100	38
99	11	138	2	3	7	103.46	1	27950	34
100	4	15	2	2	1	106.38	1	24525	28
101	3	13	2	0	7	102.35	1	27175	26
102	12	149	2	2	3	98.12	0	32775	38
103	12	158	2	2	5	122.27	1	35875	46
104	19	209	1	3	5	123.64	1	41800	52
105	12	180	2	0	4	134.53	1	41575	55
106	4	200	1	2	3	100.87	2	32350	31
107	5	182	2	1	7	124.09	1	34900	35
108	23	59	2	4	5	109.13	1	47950	66
109	9	28	1	3	8	102.32	1	23600	31
110	24	112	2	1	4	119.55	1	34875	47
111	21	169	1	1	4	113.04	1	32000	49
112	19	121	2	2	0	103.75	2	35000	46
113	14	28	1	2	8	103.89	1	33000	41
114	3	111	1	3	7	110.25	1	30600	38
115	3	132	2	4	1	93.18	1	27600	25
116	8	24	2	0	9	109.11	2	29900	36
